90,123,89,112,1,11,true
82,12,188,30,106,18,true
88,116,77,103,11,13,true
84,114,65,83,19,31,true
92,113,71,99,21,14,true
71,94,82,101,11,7,true
77,102,74,90,3,12,true
77,113,72,109,5,4,true
83,115,80,109,3,6,true
102,123,77,109,25,14,true
92,131,87,115,5,16,true
94,130,84,14,10,116,true
72,103,60,97,12,6,true
88,116,91,109,3,-7,false
73,104,79,101,6,-3,false
87,110,76,109,11,1,true
114,153,88,119,26,34,true
96,119,80,98,16,21,true
93,118,94,122,1,4,true
78,106,90,123,12,17,true
75,95,69,,6,NaN,false
88,115,82,112,6,3,true
86,119,79,107,7,12,true
87,114,96,129,9,15,true
90,122,91,132,1,10,true
70,99,67,97,3,2,true
70,92,86,118,16,26,true
76,96,80,104,4,8,true
79,104,82,108,3,4,true
82,113,82,105,0,-8,false
89,121,76,109,13,12,true
78,116,61,83,17,33,true
78,102,56,93,22,9,true
74,96,97,124,23,28,true
80,106,77,100,3,6,true
81,108,93,123,12,15,true
90,111,119,140,29,29,true
60,91,86,115,26,24,true
99,119,97,125,2,-6,false
67,97,66,94,1,3,true
96,118,73,104,23,14,true
72,105,85,117,13,12,true
99,131,86,113,13,18,true
88,113,84,107,4,6,true
86,103,77,105,9,-2,false
85,104,97,127,12,23,true
86,111,100,122,14,11,true
60,81,90,124,30,43,true
79,102,101,132,22,30,true
104,139,92,120,12,19,true
84,113,89,122,5,9,true
87,115,78,101,9,14,true
75,96,76,93,1,-3,false
69,95,105,137,36,42,true
79,102,71,99,8,3,true
71,100,87,118,16,18,true
70,106,72,102,2,-4,false
71,86,98,116,27,30,true
111,133,83,117,28,16,true
110,141,87,119,23,22,true
94,115,95,117,1,2,true
74,99,77,114,3,15,true
79,108,95,117,16,9,true
82,110,94,111,12,1,true
91,122,92,134,1,12,true
103,145,84,117,19,28,true
66,85,81,120,15,35,true
94,116,89,124,5,-8,false
94,123,84,108,10,15,true
78,115,100,130,22,15,true
84,112,91,128,7,16,true
78,95,76,118,2,-23,false
66,92,82,115,16,23,true
76,95,73,92,3,3,true
97,119,82,108,15,11,true
92,128,105,131,13,3,true
81,114,88,110,7,-4,false
88,113,84,102,4,11,true
72,105,98,130,26,25,true
71,97,94,123,23,26,true
91,118,103,127,12,9,true
88,106,91,116,3,10,true
74,91,96,117,22,26,true
82,101,97,128,15,27,true
96,117,82,112,14,5,true
86,104,82,113,4,-9,false
